year,Y,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15
2021,1,2.1,1.72,0.86,0.09,0.08,0.06,,5.55,,2.6,0.34,0.56,1.51,0.59,2.93
2022,1,1.6,1.33,0.58,0.06,0.06,0.07,3.81,4.94,5.29,1.96,0.14,0.6,1.08,0.51,2.22
2023,1,1.03,1.01,0.38,0.06,0.02,0.02,,4.44,4.47,1.3,-0.07,0.72,0.84,0.5,1.55
2017,1,1.52,1.29,0.56,0.04,0.04,0.07,3.53,4.93,5.9,1.9,0.21,0.65,1.08,0.5,2.5
2018,1,1.91,1.63,0.81,0.05,0.08,0.09,4.68,6.3,6.55,2.53,0.36,0.54,1.47,0.67,3.89
2019,1,2.12,1.71,0.74,0.11,0.09,0.1,4.27,5.79,6.59,2.46,0.27,0.58,1.34,0.65,3.56
2020,1,1.74,1.59,0.7,0.11,0.04,,3.81,5.74,5.73,2.33,0.28,0.63,1.3,0.56,2.94
2021,1,,1.38,0.62,0.07,0.03,0.11,3.46,5.23,5.69,1.9,0.19,0.65,1.12,0.58,2.55
2022,1,1.49,1.07,0.53,0.06,0.03,0.05,3.13,4.75,5.18,1.62,0.13,0.68,0.99,0.41,2.14
2023,1,1.84,1.39,0.58,0.04,0.04,0.06,3.75,5.44,6.35,1.96,0.31,0.7,1.12,0.57,2.85
2017,1,2.15,1.85,0.85,0.1,0.1,0.11,5.38,6.02,6.89,2.93,0.26,0.61,1.42,0.63,3.06
2018,0,1.91,1.18,0.59,0.01,0.06,0.07,3.59,5.04,5.56,1.74,0.28,0.63,1.08,0.51,2.72
2019,1,2.16,1.86,0.94,0.09,0.07,0.1,4.46,5.92,6.63,2.94,0.39,0.55,1.21,0.6,3.5
2020,0,1.12,0.86,0.29,0.0,0.02,0.02,2.64,3.96,4.62,1.53,0.14,0.72,0.85,0.3,1.78
2021,1,1.98,1.79,0.7,0.13,0.1,0.11,3.97,6.45,7.63,2.55,0.34,0.53,1.39,0.71,3.5
2022,0,1.6,1.29,0.52,0.01,0.06,0.05,3.16,4.71,5.26,2.02,0.3,0.69,1.11,0.6,2.59
2023,1,1.72,1.59,0.86,0.12,0.07,0.06,4.41,6.04,6.34,2.5,0.38,0.57,1.23,0.64,3.2
2017,0,0.97,0.42,0.17,0.03,0.02,-0.01,2.33,3.72,3.92,1.03,-0.08,0.83,0.82,0.37,0.66
2018,0,0.64,0.53,0.17,-0.02,-0.0,0.0,2.09,3.53,3.11,0.78,-0.16,0.78,0.7,0.33,0.96
2019,0,1.32,,0.43,0.05,-0.01,0.05,2.36,4.29,5.6,1.72,0.11,0.79,0.91,0.44,2.0
2020,0,0.95,0.78,0.35,-0.11,0.01,0.01,2.49,3.87,4.43,1.34,-0.0,0.79,0.85,0.34,1.12
2021,0,0.68,0.61,0.15,-0.05,0.0,-0.03,2.27,3.45,3.38,1.26,-0.12,0.86,0.59,0.4,
2022,0,0.73,0.53,0.23,0.04,-0.01,-0.01,2.49,2.96,3.94,1.33,-0.04,0.83,0.79,0.28,1.11
2023,0,1.24,0.83,,-0.0,0.01,0.01,2.51,4.27,4.75,0.97,-0.02,0.75,0.93,0.36,1.35
2017,1,2.48,1.94,0.87,0.11,0.08,0.08,5.39,6.65,7.32,3.02,0.45,0.5,1.54,0.78,3.83
2018,1,1.79,1.33,0.64,0.04,0.04,0.09,3.69,5.44,6.35,2.16,0.17,0.64,1.25,0.55,2.33
2019,1,,1.64,0.77,0.11,0.08,0.08,4.59,5.38,6.41,2.7,0.22,0.57,1.35,0.63,2.85
2020,1,2.53,1.72,0.89,0.14,0.1,0.11,5.23,6.19,7.14,2.68,0.43,0.52,1.45,0.73,3.84
2021,1,2.36,1.84,0.83,#DIV/0!,0.05,0.07,3.77,6.29,6.69,2.75,0.41,0.58,1.37,0.63,3.22
2022,1,1.98,1.55,0.69,0.02,0.07,0.1,4.05,5.67,6.28,2.47,0.38,0.64,1.26,0.63,3.34
2023,1,2.06,1.53,0.66,0.12,0.07,0.12,4.59,6.03,6.34,2.29,0.29,0.55,,0.69,3.07
2017,0,0.98,0.73,0.28,0.03,-0.01,0.0,2.08,3.22,4.42,1.12,-0.05,0.71,0.74,0.32,0.94
2018,0,1.41,0.77,0.3,-0.02,0.02,0.02,2.89,3.57,4.34,1.24,-0.04,0.76,0.79,0.41,1.26
2019,0,1.11,0.82,0.4,0.01,-0.0,0.03,,4.77,4.76,1.63,0.1,0.69,1.08,0.34,1.99
2020,0,1.26,,0.51,#DIV/0!,0.02,0.04,3.18,4.63,4.71,1.45,0.03,0.69,0.92,0.42,2.26
2021,0,1.34,0.78,0.2,-0.02,-0.02,0.02,2.76,3.41,3.88,1.32,-0.05,0.72,0.93,,1.28
2022,0,0.65,,0.11,-0.05,0.01,-0.02,2.39,3.44,3.24,0.86,-0.12,0.79,0.72,0.26,0.73
2023,0,0.86,0.55,0.16,-0.08,-0.03,-0.02,1.94,3.07,3.76,0.88,-0.01,0.8,0.78,0.28,0.82
2017,0,1.51,1.15,0.4,0.04,0.05,0.04,3.06,4.9,5.13,1.47,0.08,0.68,1.14,0.51,2.43
2018,0,0.95,0.73,0.24,-0.04,0.01,0.02,2.36,,3.65,1.13,0.05,0.79,0.74,0.33,1.5
2019,0,1.19,0.55,0.35,0.01,0.03,0.04,2.76,4.45,5.14,1.4,0.06,0.69,0.78,0.34,1.46
2020,0,1.22,0.7,0.36,0.02,0.01,0.04,2.68,3.71,4.66,1.8,0.06,0.77,0.87,0.33,1.68
2021,0,1.95,1.26,0.48,0.03,0.05,0.05,4.31,5.19,6.02,2.15,0.2,0.58,1.16,0.67,2.3
2022,0,0.82,,0.18,-0.0,-0.01,0.04,2.43,3.79,3.97,1.34,-0.07,0.84,0.78,0.36,0.81
2023,0,1.79,1.07,0.53,0.02,0.05,,3.43,5.12,5.79,1.96,0.14,0.62,1.02,0.46,2.1
2017,0,1.74,1.47,0.63,0.04,0.05,0.08,4.21,5.76,5.81,2.3,0.22,0.64,1.21,0.58,3.09
2018,0,1.01,0.77,0.32,-0.02,-0.01,0.01,2.54,3.48,3.75,1.34,0.04,0.76,0.79,,1.47
2019,0,1.01,0.53,0.36,-0.04,0.02,-0.0,2.66,4.02,4.2,1.34,-0.01,0.77,0.81,0.31,1.89
2020,0,1.03,0.6,0.29,-0.05,0.02,-0.01,1.91,3.35,3.67,1.1,-0.01,0.83,0.77,0.29,0.93
2021,0,0.94,0.67,0.32,-0.01,-0.0,0.05,2.64,3.61,4.23,1.32,0.03,0.71,0.94,0.41,1.8
2022,0,1.33,1.12,0.41,0.0,0.03,0.03,2.61,4.27,4.71,1.5,0.15,0.7,1.0,0.41,1.89
2023,0,1.36,0.88,0.26,0.01,0.02,0.04,3.02,3.82,4.5,1.86,0.05,0.77,1.05,0.41,1.73
2017,1,2.3,1.71,0.81,0.13,0.08,,4.98,5.42,7.94,2.66,0.39,0.48,1.42,0.75,3.14
2018,1,1.56,1.07,0.39,0.01,0.01,0.05,2.95,3.86,4.93,1.49,0.04,0.7,0.99,0.37,2.27
2019,1,1.92,1.98,0.87,0.09,0.07,0.08,4.81,6.56,6.85,2.87,0.3,0.52,1.53,0.69,3.77
2020,1,1.41,0.99,0.59,0.03,0.03,0.02,3.28,4.99,5.1,1.56,0.15,0.7,1.04,0.43,1.93
2021,0,1.5,1.34,0.51,-0.01,0.05,0.06,3.95,5.45,6.36,2.18,0.39,0.65,1.32,0.45,3.01
2022,0,1.34,0.86,0.48,0.01,0.02,0.03,3.08,4.29,4.42,1.66,0.15,0.72,1.06,0.41,1.66
2023,0,1.18,0.91,0.37,-0.03,0.02,-0.0,2.98,3.83,4.58,1.57,0.2,0.76,1.02,0.47,1.84
2017,1,2.13,1.87,0.88,0.08,0.07,0.12,5.11,7.05,7.15,2.85,0.32,0.59,1.49,0.75,3.92
2018,1,2.56,1.86,0.8,0.12,0.1,0.11,4.82,6.37,7.09,2.92,0.3,0.53,1.57,0.77,3.26
2019,1,1.53,1.33,0.55,0.06,0.04,,3.22,4.91,5.27,2.18,0.26,0.67,1.01,0.51,1.94
2020,1,2.51,1.8,0.99,0.05,0.1,0.09,4.77,6.73,7.49,,0.31,0.59,1.41,0.68,3.84
2021,1,1.5,1.38,0.69,0.08,0.08,0.07,4.1,4.8,5.67,1.94,0.28,0.64,1.25,0.53,2.57
2022,1,1.93,1.44,0.86,0.12,0.06,0.12,4.24,6.01,6.41,2.5,0.31,0.58,1.38,0.64,3.32
2023,1,2.22,1.58,0.71,0.01,0.07,0.08,4.09,5.59,6.48,2.37,0.34,0.57,1.33,0.67,3.11
2017,1,2.16,1.69,0.88,0.08,0.08,0.07,5.14,6.65,8.0,2.92,0.29,0.58,1.34,0.74,3.18
2018,1,1.88,1.67,0.79,0.14,0.09,0.08,4.03,6.01,6.45,2.74,0.18,0.67,1.35,0.59,3.29
2019,1,1.67,1.37,0.57,0.09,0.06,0.06,4.38,,5.51,2.18,0.34,0.6,1.25,0.6,2.96
2020,1,1.86,1.4,0.63,0.07,0.06,0.06,3.9,5.37,6.06,2.24,0.29,0.57,1.13,0.58,2.67
2021,0,1.28,0.95,0.34,-0.01,0.02,0.02,2.85,4.09,4.22,1.6,0.09,0.69,0.89,0.39,1.55
2022,0,1.04,0.65,0.29,0.03,0.02,0.01,2.7,3.93,3.63,1.26,0.15,0.82,0.79,0.31,1.2
2023,0,0.99,0.81,0.3,0.01,0.01,0.03,2.46,3.83,,1.2,-0.01,0.75,0.92,0.36,1.56
2017,1,1.33,0.92,0.47,0.02,0.01,0.05,3.61,4.62,4.02,2.07,0.16,0.77,1.09,0.5,2.09
2018,1,1.69,1.31,0.6,#DIV/0!,0.05,0.08,4.07,5.19,6.38,2.48,0.11,0.67,1.14,0.58,2.96
2019,1,1.39,1.2,0.47,#DIV/0!,0.05,0.05,3.61,5.32,5.72,2.18,0.17,0.73,1.12,0.5,2.68
2020,1,1.66,1.26,0.49,0.01,0.06,0.04,3.56,5.01,4.9,2.0,0.17,0.65,1.01,0.52,2.6
2021,1,1.77,1.53,0.73,0.03,0.06,0.12,4.27,5.46,5.96,1.96,0.29,0.68,1.19,0.5,2.73
2022,1,2.23,1.63,0.69,0.11,0.06,0.07,4.4,6.5,6.51,2.65,0.37,0.59,1.44,0.61,2.99
2023,1,1.27,1.27,0.47,0.03,0.02,0.05,3.41,5.09,4.96,2.13,0.19,0.69,1.05,0.46,2.16
2017,0,0.85,0.66,0.34,-0.01,0.0,-0.01,2.64,3.97,4.27,1.26,0.02,0.77,0.86,0.3,1.48
2018,0,1.4,0.9,0.4,0.05,0.05,0.04,3.13,4.31,5.18,1.72,0.02,0.74,1.1,0.47,
2019,0,,0.81,0.38,-0.02,0.0,-0.02,2.7,3.69,4.17,1.45,0.03,0.7,0.77,0.41,1.9
2020,0,1.66,1.01,0.46,0.04,0.03,0.04,3.74,4.61,4.88,1.7,0.27,0.68,0.97,0.4,2.07
2021,0,0.99,,0.25,-0.02,0.01,-0.01,2.27,3.61,4.06,1.34,0.04,0.73,0.77,0.3,1.72
2022,0,0.97,0.45,0.12,-0.01,0.0,0.01,2.39,3.89,3.5,0.78,-0.03,0.78,0.66,0.29,1.22
2023,0,1.17,0.95,0.42,0.01,0.0,0.03,3.53,4.32,3.57,1.79,0.04,0.81,0.96,0.34,1.32
2017,1,2.2,1.8,0.74,0.09,0.07,0.09,4.25,5.92,6.72,2.52,0.32,0.59,1.45,0.7,3.49
2018,1,1.72,1.26,0.66,0.03,0.03,0.07,3.59,5.27,5.64,1.54,0.19,0.69,1.1,0.48,1.92
2019,1,2.22,1.69,0.8,0.12,0.05,0.1,4.69,6.45,6.49,2.47,0.38,0.5,1.49,0.68,3.79
2020,1,1.6,1.01,0.57,0.07,0.03,0.08,3.81,5.36,5.57,1.8,0.22,0.64,1.12,0.5,2.68
2021,1,2.21,1.66,0.69,0.1,0.1,0.06,4.3,6.25,6.81,2.69,0.3,0.61,1.38,0.69,3.42
2022,1,1.91,1.55,0.67,0.08,0.06,0.1,4.68,6.29,5.55,2.28,0.17,0.55,1.26,0.63,2.95
2023,1,1.71,1.28,0.75,0.07,0.04,0.07,4.2,5.4,6.47,1.93,0.13,0.64,1.22,0.42,2.58
2017,1,1.91,1.36,0.77,0.09,0.04,0.1,,5.59,6.21,2.67,0.27,,1.18,,2.8
2018,1,2.08,1.63,0.69,0.02,0.07,0.09,4.08,5.93,5.82,2.6,0.27,0.57,1.25,0.6,3.05
2019,1,0.92,0.91,0.4,-0.03,0.02,0.02,2.73,4.38,4.03,1.67,0.01,0.8,0.84,0.37,1.69
2020,1,2.2,1.94,0.9,0.14,0.07,0.15,4.87,6.79,7.86,2.75,0.44,0.51,,0.68,3.72
2021,1,1.48,0.94,0.43,0.06,0.02,0.06,3.83,4.65,5.44,1.97,0.08,0.66,0.99,0.45,2.39
2022,1,1.35,1.17,0.55,0.03,0.03,0.04,3.55,4.56,5.29,2.06,0.1,0.67,0.97,0.51,2.1
2023,1,1.78,1.4,0.64,#DIV/0!,0.07,0.03,4.15,5.01,6.04,1.91,0.16,,1.03,,2.89
2017,0,1.13,0.57,,-0.01,-0.03,-0.03,2.06,2.92,3.56,1.13,0.03,0.83,0.66,,0.87
2018,0,0.83,0.61,,0.04,0.01,-0.0,2.27,3.4,3.78,1.01,-0.07,0.8,0.66,0.32,0.85
2019,0,1.03,0.72,0.12,-0.0,-0.01,-0.01,2.3,3.07,4.01,1.29,0.04,0.74,0.72,0.21,0.84
2020,0,0.7,0.43,0.04,-0.04,-0.02,-0.04,1.59,2.67,2.76,0.4,-0.04,0.84,,0.32,0.93
2021,0,1.15,0.68,0.28,-0.04,-0.02,0.01,2.62,3.86,4.24,1.3,-0.05,0.8,0.74,0.38,1.3
2022,0,1.11,0.79,0.3,-0.01,0.0,0.01,2.47,4.14,3.55,1.41,0.04,0.77,0.93,0.34,1.53
2023,0,0.65,0.27,0.17,0.01,,0.0,2.24,2.53,2.88,1.08,-0.08,0.78,0.63,0.27,0.61
2017,1,1.49,1.31,0.63,0.1,0.03,0.05,3.43,4.82,5.87,1.91,0.15,0.69,1.17,0.53,2.33
2018,1,2.0,1.45,0.66,0.09,0.06,0.08,4.44,5.22,5.39,2.23,0.25,0.66,1.22,0.59,3.37
2019,1,1.31,0.77,0.41,0.0,0.04,0.04,2.85,3.98,,1.91,0.17,0.69,1.01,0.34,1.73
2020,1,1.84,1.44,0.61,0.04,0.07,,4.15,4.84,6.28,1.96,0.22,0.65,1.28,0.59,3.16
2021,0,1.29,0.64,,-0.02,-0.01,0.03,1.99,3.28,4.23,1.18,0.01,0.84,0.86,0.32,1.74
2022,0,1.15,0.59,0.29,-0.06,0.02,0.01,2.22,3.27,4.3,1.54,-0.05,0.79,0.8,0.38,1.59
2023,0,1.28,0.79,0.36,0.02,0.0,0.03,2.95,3.74,4.63,1.56,0.03,0.72,0.85,0.37,1.71
2017,1,2.27,1.56,0.79,0.09,0.08,0.08,4.34,6.09,7.17,2.37,0.27,0.56,1.34,0.57,3.66
2018,1,1.83,1.33,0.71,0.07,0.07,0.05,4.3,4.87,5.92,2.31,0.26,0.66,1.09,0.57,3.08
2019,1,1.95,1.42,0.69,0.08,0.07,0.08,4.37,5.43,6.06,2.3,0.31,0.64,1.26,0.53,3.04
2020,1,1.56,1.04,0.52,0.05,0.04,0.06,3.42,5.27,4.49,1.99,0.25,0.72,1.09,0.45,2.72
2021,1,1.86,1.4,0.58,0.05,0.08,0.09,4.15,5.7,6.88,2.37,,0.57,1.16,0.57,2.63
2022,1,1.36,1.23,0.53,0.08,0.03,0.07,3.8,4.85,4.54,1.82,0.27,0.69,1.14,0.49,2.26
2023,1,1.45,0.93,0.47,0.05,0.02,0.0,2.95,4.02,3.96,1.5,0.08,0.7,0.9,0.36,1.89
2017,1,2.36,1.92,0.87,0.11,0.1,0.12,4.91,6.43,6.59,2.88,0.38,0.56,1.53,0.76,3.75
2018,1,2.11,1.79,0.82,#DIV/0!,0.06,,4.56,5.99,6.39,2.47,0.3,0.58,1.28,0.64,2.98
2019,1,1.78,1.35,0.62,0.1,0.05,0.07,3.84,5.68,6.12,2.17,0.15,0.64,1.25,0.52,2.69
2020,1,1.87,1.43,0.69,0.07,0.06,0.1,4.09,6.28,6.27,2.22,0.34,0.62,1.08,0.58,2.81
2021,1,2.01,1.7,0.71,0.05,0.07,0.06,3.83,6.27,6.18,2.27,0.27,0.56,1.32,0.58,3.3
2022,1,1.93,1.33,0.85,#DIV/0!,0.04,0.09,3.89,5.55,6.71,2.79,0.33,0.58,1.31,0.55,3.02
2023,1,1.93,1.46,0.77,0.06,0.08,0.08,4.55,5.37,6.04,2.37,0.28,0.59,1.48,0.7,3.13
2017,0,0.78,0.41,0.09,-0.04,-0.03,-0.06,1.84,3.09,2.24,0.58,-0.07,0.86,0.81,0.26,0.77
2018,0,1.13,0.73,0.31,0.01,-0.0,0.0,2.8,,4.15,1.1,0.06,0.78,0.81,0.4,1.04
2019,0,1.37,1.01,0.38,0.02,0.03,0.02,2.71,4.11,4.29,1.57,-0.02,0.74,0.83,0.39,1.93
2020,0,1.48,1.02,0.51,0.05,0.04,0.04,3.18,4.58,5.37,,0.16,0.65,1.04,0.43,2.29
2021,1,1.76,1.24,0.61,0.01,0.05,0.03,3.44,5.28,4.62,2.37,0.25,0.59,,0.64,2.47
2022,1,1.69,0.94,0.54,0.01,0.03,0.04,3.6,4.89,5.11,2.11,0.13,0.64,,0.52,2.27
2023,1,1.17,0.64,0.21,0.02,-0.01,0.0,2.75,3.74,4.75,1.13,-0.0,0.77,0.87,,1.4
2017,1,2.35,1.67,0.87,0.09,0.05,0.1,4.52,6.26,7.61,2.74,0.3,0.59,1.44,0.63,3.08
2018,1,2.32,1.71,0.8,0.07,0.1,0.07,4.57,6.38,7.1,2.41,0.31,0.54,1.23,0.66,3.16
2019,1,2.32,1.72,0.74,0.06,0.03,0.09,4.63,5.97,7.04,2.34,0.32,0.57,1.35,0.69,3.24
2020,1,1.59,1.16,0.55,0.0,0.03,0.05,3.58,5.08,5.63,1.89,0.19,0.64,1.09,0.46,2.65
2021,1,1.77,1.6,0.75,0.04,0.05,,4.26,5.73,6.2,2.37,0.2,0.63,1.25,0.56,2.53
2022,1,1.75,1.36,0.54,0.08,0.05,,3.32,5.11,5.34,2.11,0.28,0.67,,0.54,2.58
2023,1,2.07,1.5,0.68,0.11,0.05,0.07,4.55,5.51,6.31,2.33,0.19,0.6,1.21,0.62,3.29
2017,1,2.02,1.62,0.87,0.11,0.07,0.07,4.18,5.27,6.61,2.23,0.27,0.62,1.27,0.59,2.74
2018,1,2.31,1.85,0.86,0.09,0.06,0.09,4.44,5.96,6.39,2.73,0.45,0.57,1.41,0.68,2.74
2019,1,1.72,1.26,0.72,0.1,0.04,0.07,3.91,5.71,6.04,2.17,0.2,0.65,1.17,,2.68
2020,1,,1.36,0.75,0.08,0.05,0.03,3.69,4.84,,2.33,0.24,0.7,1.13,0.56,2.38
2021,1,1.51,1.34,0.48,0.05,0.06,0.08,3.88,,5.65,2.02,0.37,0.67,1.09,0.46,2.49
2022,1,2.09,1.81,0.87,0.07,0.04,0.1,4.59,6.12,7.36,2.73,0.31,0.51,1.4,0.64,3.47
2023,1,2.39,1.88,0.82,#DIV/0!,0.08,,4.58,5.97,6.46,2.63,,0.53,1.38,0.64,3.15
2017,0,1.82,1.28,0.57,0.07,0.04,0.06,3.88,5.77,6.37,2.1,0.23,0.57,1.07,0.51,3.03
2018,0,1.69,1.24,0.56,0.09,0.03,0.06,3.44,4.26,4.74,1.79,0.14,0.74,1.16,0.54,2.25
2019,0,1.76,1.21,0.56,0.05,0.04,0.06,3.38,5.52,5.04,2.07,0.25,0.67,1.02,0.54,2.38
2020,0,1.12,0.89,0.32,0.02,0.02,0.0,2.98,4.29,3.72,1.47,0.02,0.8,0.86,0.32,1.6
2021,0,0.76,0.48,0.19,0.04,-0.01,-0.01,2.04,3.41,3.08,1.33,-0.06,0.8,0.78,0.24,1.14
2022,0,1.65,1.19,0.52,0.05,0.04,0.04,3.28,5.34,5.52,1.82,0.18,0.68,1.13,0.52,2.47
2023,0,1.09,1.01,0.48,0.03,0.02,0.04,3.07,4.57,5.07,1.54,0.05,0.71,1.0,0.4,1.66
2017,1,2.15,1.48,0.74,0.07,0.08,0.09,5.02,6.64,7.47,2.47,0.37,0.55,1.4,0.63,3.67
2018,1,1.87,1.19,0.53,0.03,0.03,0.05,3.96,5.64,4.75,2.0,0.22,0.66,1.29,0.44,1.9
2019,1,2.68,1.92,0.95,0.13,0.08,0.1,4.94,7.28,7.57,3.16,0.41,0.5,1.41,0.76,4.25
2020,1,1.51,1.27,0.58,#DIV/0!,0.02,0.07,3.55,,5.36,2.2,0.27,0.64,1.2,0.46,2.55
2021,1,2.21,1.9,0.78,0.07,0.1,0.1,,5.77,6.47,2.58,0.34,0.5,1.45,0.7,3.31
2022,1,1.7,1.23,0.65,0.05,0.04,0.06,3.7,5.02,5.83,1.89,0.15,0.67,1.14,0.57,2.62
2023,1,,1.35,0.72,0.1,0.08,0.09,4.49,5.42,5.51,1.98,0.3,0.64,1.2,0.52,2.56
2017,1,1.68,1.13,0.51,0.04,0.03,0.02,3.85,5.35,5.45,1.96,0.24,0.68,1.06,0.49,2.66
2018,1,1.96,1.44,0.63,0.03,0.03,0.07,3.75,5.59,5.33,2.49,0.28,0.63,1.33,0.6,2.63
2019,1,2.02,1.46,0.68,#DIV/0!,0.08,0.06,4.1,,5.73,2.25,0.36,0.56,1.22,0.55,3.0
2020,1,2.16,1.5,0.75,#DIV/0!,0.07,0.06,5.1,6.18,6.71,2.73,0.35,0.56,1.42,0.66,3.01
2021,1,2.11,1.39,0.8,#DIV/0!,0.05,0.08,4.43,5.23,6.32,2.36,0.25,0.61,1.23,0.66,2.83
2022,1,2.13,1.38,0.68,0.08,0.03,0.11,4.09,5.43,6.33,2.46,0.25,0.63,1.33,0.58,2.94
2023,1,2.12,,0.71,0.13,0.09,,4.44,5.78,6.56,2.58,0.46,0.59,1.4,0.7,3.37
2017,0,1.19,0.92,0.28,0.01,-0.0,0.05,2.54,4.05,4.31,1.81,,0.74,0.91,0.39,1.46
2018,0,0.74,0.42,0.22,-0.03,-0.01,-0.0,2.4,3.1,3.74,1.26,-0.09,0.72,0.79,0.4,1.08
2019,0,1.24,1.07,0.35,-0.0,0.0,0.03,2.67,4.42,,1.54,0.06,0.8,0.94,0.45,1.72
2020,0,1.43,0.66,0.32,-0.02,0.02,0.02,2.43,3.83,4.65,1.12,-0.02,0.73,0.89,0.41,1.0
2021,0,1.09,0.95,0.31,0.06,-0.01,0.0,2.75,3.3,3.45,1.09,0.03,0.74,0.92,0.37,1.71
2022,0,0.96,0.86,0.3,-0.0,0.01,0.01,2.91,2.85,4.11,1.46,-0.1,0.8,0.77,0.34,1.17
2023,0,1.38,0.97,0.54,0.02,0.03,,2.9,4.37,5.48,1.67,0.03,0.67,1.01,0.47,2.1
2017,1,2.24,1.74,0.86,0.11,0.08,0.08,4.69,6.62,7.64,2.74,0.4,0.57,,0.7,3.75
2018,1,1.6,1.26,0.5,0.05,0.02,0.02,3.38,5.04,5.66,1.7,0.21,0.68,1.03,0.43,2.37
2019,1,2.27,1.9,0.85,0.07,0.08,0.11,4.85,5.85,6.48,2.43,0.43,0.59,1.32,0.66,3.34
2020,1,2.11,1.35,0.75,0.11,0.05,0.1,4.71,5.9,6.5,2.17,0.34,0.57,1.3,0.62,2.16
2021,1,,1.2,0.45,0.04,0.02,0.08,3.5,4.44,5.58,1.83,0.09,0.69,1.1,0.53,2.29
2022,1,2.14,1.4,0.63,0.08,,0.09,4.05,5.56,6.18,2.07,0.31,0.58,1.15,0.57,2.73
2023,1,1.65,1.09,0.49,0.04,0.07,0.05,2.84,4.63,5.67,1.73,0.22,0.68,1.16,0.47,2.18
2017,0,0.85,0.69,0.37,-0.02,0.01,-0.01,2.47,3.78,4.39,1.25,-0.01,0.79,0.88,0.37,1.84
2018,0,0.87,0.87,0.25,-0.05,0.02,0.0,2.85,3.45,4.75,1.47,-0.02,0.71,1.01,0.34,1.26
2019,0,1.51,1.21,0.52,0.08,0.05,0.05,3.84,4.98,5.73,2.08,0.22,0.67,1.17,0.57,2.66
2020,0,0.99,,0.29,-0.0,0.02,0.01,2.73,3.5,4.25,1.3,0.07,0.73,0.81,0.38,2.02
